sample,unit,fq1,fq2,reference
MMETSP0004,SRR1296863,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296863/SRR1296863_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296863/SRR1296863_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0004.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0005,SRR1296767,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296767/SRR1296767_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296767/SRR1296767_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0005.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0006,SRR1296917,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296917/SRR1296917_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296917/SRR1296917_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0006.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0007,SRR1296769,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296769/SRR1296769_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296769/SRR1296769_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0007.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0009,SRR1296957,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296957/SRR1296957_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296957/SRR1296957_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0009.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0010,SRR1294401,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1294401/SRR1294401_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1294401/SRR1294401_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0010.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0011,SRR1294402,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1294402/SRR1294402_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1294402/SRR1294402_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0011.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0013,SRR1294403,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1294403/SRR1294403_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1294403/SRR1294403_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0013.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0014,SRR1294404,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1294404/SRR1294404_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1294404/SRR1294404_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0014.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0015,SRR1294405,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1294405/SRR1294405_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1294405/SRR1294405_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0015.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0017,SRR1294406,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1294406/SRR1294406_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1294406/SRR1294406_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0017.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0018,SRR1296976,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296976/SRR1296976_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/006/SRR1296976/SRR1296976_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0018.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0019,SRR1296864,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296864/SRR1296864_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296864/SRR1296864_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0019.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0020,SRR1296865,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296865/SRR1296865_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/005/SRR1296865/SRR1296865_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0020.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0027,SRR1296748,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296748/SRR1296748_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296748/SRR1296748_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0027.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0029,SRR1296749,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296749/SRR1296749_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296749/SRR1296749_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0029.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0030,SRR1296750,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296750/SRR1296750_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296750/SRR1296750_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0030.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0031,SRR1296952,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296952/SRR1296952_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296952/SRR1296952_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0031.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0033,SRR1296860,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296860/SRR1296860_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296860/SRR1296860_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0033.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0034,SRR1294419,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1294419/SRR1294419_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1294419/SRR1294419_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0034.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0038,SRR1294407,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1294407/SRR1294407_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1294407/SRR1294407_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0038.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0039,SRR1294408,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1294408/SRR1294408_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1294408/SRR1294408_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0039.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0040,SRR1296814,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296814/SRR1296814_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296814/SRR1296814_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0040.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0041,SRR1296868,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296868/SRR1296868_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/008/SRR1296868/SRR1296868_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0041.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0042,SRR1296869,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296869/SRR1296869_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296869/SRR1296869_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0042.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0043,SRR1296870,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296870/SRR1296870_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296870/SRR1296870_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0043.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
MMETSP0044,SRR1300211,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300211/SRR1300211_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300211/SRR1300211_2.fastq.gz,MMETSP_assemblies_figshare/MMETSP0044.trinity_out_2.2.0.Trinity.fasta.renamed.fasta
