sample,unit,fq1,fq2
MMETSP0006,SRR1296917,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296917/SRR1296917_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/007/SRR1296917/SRR1296917_2.fastq.gz
MMETSP0007,SRR1296769,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296769/SRR1296769_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296769/SRR1296769_2.fastq.gz
MMETSP0008,SRR1294412,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1294412/SRR1294412_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1294412/SRR1294412_2.fastq.gz
MMETSP0008,SRR1294411,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1294411/SRR1294411_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1294411/SRR1294411_2.fastq.gz
MMETSP0143,SRR1296789,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296789/SRR1296789_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296789/SRR1296789_2.fastq.gz
MMETSP0145,SRR1296790,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296790/SRR1296790_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296790/SRR1296790_2.fastq.gz
MMETSP0146,SRR1296791,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296791/SRR1296791_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/001/SRR1296791/SRR1296791_2.fastq.gz
MMETSP0147,SRR1296792,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296792/SRR1296792_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/002/SRR1296792/SRR1296792_2.fastq.gz
MMETSP0164,SRR1296883,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296883/SRR1296883_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296883/SRR1296883_2.fastq.gz
MMETSP0286,SRR1296739,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296739/SRR1296739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/009/SRR1296739/SRR1296739_2.fastq.gz
MMETSP0287,SRR1296740,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296740/SRR1296740_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296740/SRR1296740_2.fastq.gz
MMETSP0595,SRR1296904,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296904/SRR1296904_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/004/SRR1296904/SRR1296904_2.fastq.gz
MMETSP0814,SRR1296973,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296973/SRR1296973_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/003/SRR1296973/SRR1296973_2.fastq.gz
MMETSP0815,SRR1296710,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296710/SRR1296710_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR129/000/SRR1296710/SRR1296710_2.fastq.gz
MMETSP0943,SRR1300331,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300331/SRR1300331_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR1300331/SRR1300331_2.fastq.gz
